trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,duration_hours,entry_day_of_week,entry_hour
mPsaUFsh,ES,BTO,5.0,5981.0,5855.5,2025-01-07 16:52:58.713492+00:00,2025-01-14 20:03:02.738487+00:00,-1597.5,171.16778472083334,2.0,16.0
AZMDgGgk,QQQ,BTO,2.0,1.55,0.0,2025-01-07 16:57:00.489593+00:00,2025-01-25 17:45:16.568051+00:00,-3.1,432.80446623833336,2.0,16.0
27Nmm8tg,MSTR,BTO,1.0,34.95,53.75,2025-01-07 17:20:26.471571+00:00,2025-01-17 19:57:35.988665+00:00,18.8,242.61931030388888,2.0,17.0
Uy97gWVo,SPX,BTO,4.0,1.7,0.0,2025-01-07 18:21:02.551929+00:00,2025-01-25 17:45:16.807573+00:00,-8.6,431.40395990111114,2.0,18.0
ZT5zTNrC,NVDA,BTO,1.0,22.35,7.55,2025-01-07 18:32:08.668101+00:00,2025-05-29 13:35:49.505000+00:00,-14.8,3403.0613435830555,2.0,18.0
YwjJP7N2,SPY,BTO,6.0,0.08,0.0,2025-01-07 18:47:18.429174+00:00,2025-01-25 17:45:16.893987+00:00,-0.48,430.96624022583336,2.0,18.0
KnF3unNX,SPX,BTO,1.0,1.3,0.5,2025-01-08 19:32:04.038693+00:00,2025-01-25 17:45:17.154343+00:00,-1.15,406.2203099027778,3.0,19.0
4eCwzQj9,MSTR,BTO,0.5,10.8,12.475,2025-01-10 14:31:13.182700+00:00,2025-01-25 17:45:17.358122+00:00,6.425,363.2344931727778,5.0,14.0
6tpG5no3,SPX,BTO,0.5,2.25,0.0,2025-01-10 14:48:57.693753+00:00,2025-01-25 17:45:17.473017+00:00,-1.125,362.93882757333336,5.0,14.0
VJEXF9MM,COIN,BTO,0.5,0.73,0.96,2025-01-10 17:01:04.301068+00:00,2025-01-25 17:45:17.697462+00:00,0.115,360.73705455388887,5.0,17.0
brBbr5X6,ES,BTO,0.5,23.5,28.5,2025-01-13 01:39:13.372920+00:00,2025-01-25 17:45:18.046751+00:00,7.75,304.1012982863889,1.0,1.0
ggo9LJdH,KWEB,BTO,6.0,0.97,1.63666666666667,2025-01-13 14:37:34.162394+00:00,2025-01-21 16:44:41.323347+00:00,4.0,194.11865582027778,1.0,14.0
QYAh8ya5,SPX,BTO,3.0,4.7,14.8333333333333,2025-01-13 14:39:09.871554+00:00,2025-01-25 17:45:18.304137+00:00,30.4,291.10234238416666,1.0,14.0
imWB4KqK,SPX,BTO,2.0,1.7,3.0,2025-01-13 15:25:48.389837+00:00,2025-01-25 17:45:18.371181+00:00,2.6,290.3249948177778,1.0,15.0
fTKLcTUd,COIN,BTO,3.0,245.4,257.99,2025-01-13 15:34:42.440938+00:00,2025-01-14 19:49:38.698968+00:00,37.77,28.24896056388889,1.0,15.0
kugwGk7M,SPX,BTO,1.0,1.5,1.35,2025-01-13 16:06:14.557850+00:00,2025-01-25 17:45:18.529042+00:00,0.65,289.6511031088889,1.0,16.0
jwYJUpwZ,SPX,BTO,1.0,17.0,23.9,2025-01-14 17:46:27.632592+00:00,2025-01-25 17:45:19.019223+00:00,6.9,263.9809407308333,2.0,17.0
29aePwW8,SPX,STO,0.6,22.4,12.85,2025-01-14 17:47:07.142722+00:00,2025-01-25 17:45:19.061432+00:00,-5.73,263.96997741944443,2.0,17.0
VY3BHE4c,IWM,BTO,3.0,0.44,1.76666666666667,2025-01-14 20:24:07.555711+00:00,2025-01-25 17:45:19.412759+00:00,3.98,261.35329362444446,2.0,20.0
gjSBMkZF,SPX,BTO,2.0,7.1,40.2,2025-01-14 20:38:41.775909+00:00,2025-01-25 17:45:19.462877+00:00,66.2,261.1104686022222,2.0,20.0
5cjxap7f,MSTR,BTO,3.0,339.76,360.24,2025-01-14 20:42:15.516910+00:00,2025-01-15 15:35:06.022779+00:00,61.4400000000001,18.880696074722223,2.0,20.0
ESwpQM6f,QQQ,BTO,1.0,1.33,1.125,2025-01-15 15:37:00.066991+00:00,2025-02-28 00:00:00+00:00,0.67,1040.3833147247221,3.0,15.0
aMuq9irf,SPX,BTO,1.0,7.4,9.83,2025-01-16 14:32:22.746267+00:00,2025-01-25 17:45:20.067921+00:00,2.43,219.21592268166665,4.0,14.0
3qjqDked,MSTR,BTO,1.0,2.36,1.5175,2025-01-16 14:40:56.168037+00:00,2025-01-25 17:45:20.117536+00:00,-1.185,219.07331930527778,4.0,14.0
3GmNcXGh,NVDA,BTO,1.0,0.86,2.11,2025-01-16 15:18:44.958877+00:00,2025-01-25 17:45:20.211971+00:00,1.25,218.44312585944445,4.0,15.0
KdGuoEhc,SPX,BTO,1.4,4.4,6.7,2025-01-16 16:09:17.881449+00:00,2025-01-25 17:45:20.361388+00:00,3.22,217.60068887194444,4.0,16.0
c3WNQeV2,SPX,BTO,1.0,3.8,5.1,2025-01-16 20:06:41.108290+00:00,2025-01-25 17:45:20.557328+00:00,1.3,213.64429139944446,4.0,20.0
EbaWn3XC,NVDA,BTO,1.8,1.3,0.26,2025-01-17 17:05:44.326945+00:00,2025-01-25 17:45:21.047653+00:00,-1.872,192.66020019666666,5.0,17.0
DZjncB4m,SPX,BTO,0.5,27.5,30.04,2025-01-17 19:53:05.733591+00:00,2025-01-25 17:45:21.103596+00:00,1.27,189.8709361125,5.0,19.0
9B5MNTS8,SPX,BTO,1.0,10.6,7.975,2025-01-21 14:35:56.923525+00:00,2025-01-25 17:45:21.430251+00:00,-4.19,99.15680742388889,2.0,14.0
77HqGzrR,SPX,BTO,3.0,17.2,0.0,2025-01-21 15:06:31.232999+00:00,2025-02-28 00:00:00+00:00,-17.2,896.8913241669444,2.0,15.0
aTKHDAPS,UVXY,BTO,6.0,18.26,23.36,2025-01-21 16:41:55.215938+00:00,2025-03-05 16:06:31.633000+00:00,30.6,1031.4101158505555,2.0,16.0
BkWifxng,NVDA,BTO,3.0,0.55,2.0,2025-01-21 20:30:18.876689+00:00,2025-01-25 17:45:22.095288+00:00,4.35,93.25089405527778,2.0,20.0
WJnE63sx,TSLA,BTO,1.0,5.25,5.0,2025-01-21 20:38:47.709151+00:00,2025-01-25 17:45:22.179999+00:00,-0.25,93.10957523555555,2.0,20.0
6sm5m3Yu,SPX,BTO,2.0,2.95,0.0,2025-01-22 14:41:10.459878+00:00,2025-02-28 00:00:00+00:00,-7.23,873.313761145,3.0,14.0
FcKrTL84,SPY,BTO,2.0,1.11,0.0,2025-01-22 14:41:49.122160+00:00,2025-02-28 00:00:00+00:00,-2.22,873.3030216222222,3.0,14.0
