trade_id,symbol,trade_type,status,entry_price,average_price,current_size,size,created_at,closed_at,exit_price,average_exit_price,profit_loss,risk_reward_ratio,win_loss,configuration_id,is_contract,is_day_trade,strike,expiration_date,option_type
QYAh8ya5,SPX,BTO,CLOSED,4.7,4.7,0,3,2025-01-13 14:39:09.871554+00:00,2025-01-25 17:45:18.304137+00:00,14.8333333333333,14.8333333333333,30.4,,WIN,1,True,True,5905.0,2025-01-15 00:00:00+00:00,CALL
brBbr5X6,ES,BTO,CLOSED,23.5,20.75,0,.5,2025-01-13 01:39:13.372920+00:00,2025-01-25 17:45:18.046751+00:00,28.5,28.5,7.75,,WIN,1,True,True,5850.0,2025-01-13 00:00:00+00:00,C
4eCwzQj9,MSTR,BTO,CLOSED,10.8,9.2625,0,.5,2025-01-10 14:31:13.182700+00:00,2025-01-25 17:45:17.358122+00:00,12.475,12.475,6.425,,WIN,2,True,True,350.0,2025-01-17 00:00:00+00:00,CALL
hxR6Xv5u,AMZN,BTO,CLOSED,6.15,6.15,0,1,2024-12-30 15:11:37.787346+00:00,2025-01-25 17:45:11.467465+00:00,8.625,8.625,2.475,,WIN,2,True,False,220.0,2025-01-24 00:00:00+00:00,CALL
5T7cLmSM,SPY,BTO,CLOSED,2.29,2.025,0,1,2025-01-02 17:52:00.961011+00:00,2025-01-25 17:45:13.314220+00:00,4.18,4.18,8.62,,WIN,2,True,True,587.0,2025-01-07 21:15:00+00:00,CALL
eZewgioE,SPY,BTO,CLOSED,1.17,1.17,0,2,2024-11-27 14:40:22.490357+00:00,2025-01-25 17:45:01.438198+00:00,1.12,1.12,-0.0999999999999996,,LOSS,1,True,True,600.0,2024-11-27 21:15:00+00:00,CALL
J5yPuyBb,SPY,BTO,CLOSED,2.6,2.6,0,2,2024-11-27 20:51:12.720298+00:00,2025-01-25 17:45:01.940474+00:00,4.18,4.18,3.16,,WIN,2,True,False,600.0,2024-12-05 21:15:00+00:00,CALL
fSghKiKh,QQQ,BTO,CLOSED,1.67,1.67,0,3,2024-12-03 14:49:21.400295+00:00,2025-01-25 17:45:02.873646+00:00,1.41,1.41,-0.78,,LOSS,1,True,True,514.0,2024-12-04 21:15:00+00:00,PUT
nF4XJGFG,SPX,BTO,CLOSED,7.0,7.0,0,1,2024-12-03 19:33:50.275951+00:00,2025-01-25 17:45:03.047250+00:00,7.6,7.6,0.6,,WIN,1,True,True,6055.0,2024-12-03 21:15:00+00:00,PUT
dv5PCywh,GLD,BTO,CLOSED,5.85,5.85,0,1,2024-12-16 16:17:04.197873+00:00,2025-04-11 15:54:17.825000+00:00,30.085,30.085,24.235,,WIN,3,True,False,255.0,2025-04-17 21:15:00+00:00,CALL
IK96WFV2,SOXL,BTO,CLOSED,0.47,0.403333333333333,0,1,2025-04-09 19:00:47.042000+00:00,2025-04-22 20:40:12.148000+00:00,0.158333333333333,0.158333333333333,-0.735,,LOSS,2,True,False,9.0,2025-04-17 20:30:00+00:00,P
YCIL1MOY,SLV,BTO,CLOSED,3.1,3.1,0,1,2025-04-23 14:53:02.489000+00:00,2025-05-07 21:00:01.900000+00:00,2.12,2.12,-0.98,,LOSS,2,True,False,27.5,2025-05-07 20:30:00+00:00,C
NBVOW519,NEM,BTO,CLOSED,0.51,0.51,0,1,2025-04-23 14:49:03.055000+00:00,2025-05-16 21:00:02.109000+00:00,0.0,0.0,-0.51,,LOSS,2,True,False,60.0,2025-05-16 20:30:00+00:00,C
ZLV11O33,IWM,BTO,CLOSED,0.62,0.605,0,1,2025-04-23 14:27:22.764000+00:00,2025-05-16 21:00:02.204000+00:00,0.0,0.0,-1.21,,LOSS,2,True,False,169.0,2025-05-16 20:30:00+00:00,P
QGOQ1Z20,SPXW,BTO,CLOSED,22.8,25.8,0,1,2025-04-30 19:43:53.233000+00:00,2025-05-12 13:32:35.903000+00:00,74.15,74.15,96.7,,WIN,2,True,False,5800.0,2025-05-28 20:30:00+00:00,C
PSROQA24,YINN,BTO,CLOSED,1.81,1.81,0,1,2025-05-07 18:13:15.298000+00:00,2025-05-21 13:42:44.436000+00:00,3.555,3.555,1.745,,WIN,2,True,False,36.0,2025-05-23 20:30:00+00:00,C
ZT5zTNrC,NVDA,BTO,CLOSED,22.35,22.35,0,1,2025-01-07 18:32:08.668101+00:00,2025-05-29 13:35:49.505000+00:00,7.55,7.55,-14.8,,LOSS,3,True,False,140.0,2025-06-20 21:15:00+00:00,CALL
J9G7E7CV,IWM,BTO,CLOSED,0.25,0.25,0,1,2025-05-23 13:39:44.715000+00:00,2025-06-02 21:00:01.797000+00:00,0.0,0.0,-0.25,,LOSS,2,True,False,183.0,2025-06-02 20:30:00+00:00,P
